SIMULATION;ECONOMY;CLASS;MEASURE;TERM;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89;90;91;92;93;94;95;96;97;98;99;100
1;EUR;ZCB;PRICE;1;1.001572469;1.001011305;0.998545379;0.995029239;0.992293025;0.988811406;0.986232708;0.983686275;0.981565395;0.980282042;0.979626988;0.9787974;0.977856129;0.977714009;0.978535465;0.9799424;0.980659494;0.980464811;0.979455456;0.977706045;0.975439726;0.97335365;0.971569328;0.970037031;0.968716662;0.967575561;0.966586878;0.965728368;0.964981466;0.964330581;0.963762548;0.963266194;0.962831995;0.962451799;0.962118609;0.961826397;0.961569956;0.961344779;0.961146956;0.960973086;0.960820211;0.96068575;0.960567449;0.960463339;0.960371696;0.960291011;0.960219961;0.960157385;0.960102265;0.960053707;0.960010925;0.959973228;0.959940009;0.959910735;0.959884934;0.959862193;0.959842149;0.959824481;0.959808907;0.959795177;0.959783074;0.959772404;0.959762997;0.959754704;0.959747393;0.959740947;0.959735263;0.959730252;0.959725834;0.959721939;0.959718504;0.959715476;0.959712806;0.959710452;0.959708376;0.959706545;0.959704932;0.959703509;0.959702254;0.959701148;0.959700172;0.959699312;0.959698554;0.959697885;0.959697295;0.959696775;0.959696317;0.959695913;0.959695556;0.959695242;0.959694965;0.959694721;0.959694505;0.959694315;0.959694148;0.959694;0.95969387;0.959693755;0.959693653;0.959693564;0.959693485
1;EUR;ZCB;PRICE;2;1.002585364;0.999555212;0.993581849;0.987360573;0.981190661;0.975198151;0.970143579;0.965552407;0.96221093;0.960310744;0.958856349;0.957123037;0.956063636;0.956727832;0.958908393;0.960989819;0.961502125;0.960321608;0.95761952;0.953693317;0.949447817;0.945680551;0.942458226;0.939691035;0.937306567;0.93524584;0.933460368;0.931909976;0.930561138;0.929385698;0.928359882;0.927463511;0.926679385;0.925992787;0.925391076;0.924863367;0.924400257;0.923993608;0.923636356;0.923322364;0.923046285;0.92280346;0.922589819;0.922401805;0.922236306;0.922090596;0.921962286;0.92184928;0.921749739;0.921662047;0.921584787;0.92151671;0.92145672;0.921403852;0.921357258;0.921316191;0.921279993;0.921248086;0.92121996;0.921195166;0.921173308;0.921154039;0.921137052;0.921122075;0.921108871;0.92109723;0.921086966;0.921077917;0.921069938;0.921062903;0.921056701;0.921051232;0.92104641;0.921042159;0.92103841;0.921035105;0.92103219;0.92102962;0.921027355;0.921025357;0.921023595;0.921022042;0.921020672;0.921019464;0.9210184;0.921017461;0.921016633;0.921015903;0.921015259;0.921014691;0.921014191;0.92101375;0.921013361;0.921013018;0.921012715;0.921012448;0.921012213;0.921012006;0.921011823;0.921011662;0.921011519
1;EUR;ZCB;PRICE;3;1.001126982;0.994586663;0.985924338;0.976313397;0.967682323;0.959289037;0.952259365;0.946513686;0.942607795;0.93994966;0.937623557;0.935792601;0.935542175;0.937538169;0.940362619;0.9422167;0.941748502;0.938912242;0.934100122;0.928280871;0.922454378;0.917345154;0.912974987;0.909222079;0.905988229;0.903193439;0.900771954;0.898669289;0.896839973;0.895245825;0.893854597;0.892638925;0.891575482;0.890644306;0.889828256;0.889112569;0.888484493;0.887932989;0.887448479;0.887022637;0.886648215;0.886318892;0.886029149;0.885774162;0.88554971;0.885352096;0.885178079;0.885024819;0.884889819;0.884770891;0.884666109;0.884573782;0.884492422;0.884420722;0.88435753;0.884301835;0.884252743;0.88420947;0.884171325;0.884137699;0.884108056;0.884081923;0.884058884;0.884038572;0.884020665;0.884004877;0.883990957;0.883978684;0.883967863;0.883958323;0.883949911;0.883942494;0.883935954;0.883930188;0.883925104;0.883920621;0.883916669;0.883913184;0.883910111;0.883907401;0.883905012;0.883902905;0.883901048;0.88389941;0.883897966;0.883896692;0.88389557;0.88389458;0.883893707;0.883892937;0.883892258;0.88389166;0.883891132;0.883890667;0.883890256;0.883889895;0.883889576;0.883889294;0.883889046;0.883888828;0.883888635
1;EUR;ZCB;PRICE;5;0.988473311;0.975879145;0.961471592;0.947164173;0.934347996;0.923038396;0.9144649;0.907570656;0.902191635;0.898651689;0.897050554;0.897339379;0.899046505;0.901444941;0.903050543;0.902285105;0.898139253;0.891448178;0.883360319;0.874865942;0.866822108;0.859833637;0.853856059;0.848722777;0.844299468;0.840476714;0.837164571;0.834288515;0.83178635;0.82960585;0.827702909;0.826040095;0.824585501;0.823311825;0.822195621;0.821216694;0.820357602;0.819603247;0.818940527;0.818358054;0.817845914;0.817395461;0.816999146;0.816650371;0.816343362;0.816073063;0.815835041;0.815625409;0.815440755;0.815278083;0.81513476;0.815008474;0.814897189;0.814799116;0.814712682;0.8146365;0.814569352;0.814510163;0.814457987;0.814411993;0.814371447;0.814335702;0.814304189;0.814276406;0.814251912;0.814230317;0.814211277;0.81419449;0.81417969;0.81416664;0.814155134;0.814144989;0.814136044;0.814128157;0.814121203;0.814115072;0.814109665;0.814104898;0.814100695;0.814096989;0.814093721;0.814090839;0.814088299;0.814086058;0.814084083;0.814082341;0.814080805;0.814079451;0.814078257;0.814077204;0.814076276;0.814075457;0.814074735;0.814074099;0.814073538;0.814073043;0.814072607;0.814072222;0.814071883;0.814071583;0.81407132
1;EUR;ZCB;PRICE;7;0.963957345;0.946742887;0.92835121;0.91137172;0.89726442;0.885061226;0.875255422;0.867695302;0.863151848;0.861724647;0.862056449;0.86279372;0.863373785;0.863241273;0.861233267;0.856672623;0.849352824;0.840152669;0.830085772;0.820017593;0.810691771;0.802620624;0.795716979;0.789788433;0.784679851;0.780264863;0.776439593;0.773117968;0.77022816;0.76770985;0.765512099;0.763591676;0.761911733;0.760440735;0.759151604;0.758021018;0.757028834;0.756157611;0.75539222;0.754719509;0.754128027;0.753607788;0.753150075;0.752747266;0.752392695;0.75208052;0.751805623;0.751563514;0.751350252;0.751162378;0.750996852;0.750851001;0.750722475;0.750609209;0.750509384;0.7504214;0.750343849;0.75027549;0.750215231;0.750162112;0.750115284;0.750074001;0.750037606;0.750005519;0.74997723;0.74995229;0.7499303;0.749910913;0.749893819;0.749878747;0.749865459;0.749853742;0.749843412;0.749834303;0.749826271;0.74981919;0.749812946;0.74980744;0.749802586;0.749798306;0.749794531;0.749791204;0.749788269;0.749785682;0.7497834;0.749781389;0.749779615;0.749778051;0.749776672;0.749775456;0.749774384;0.749773438;0.749772605;0.74977187;0.749771222;0.74977065;0.749770146;0.749769702;0.74976931;0.749768965;0.74976866
1;EUR;ZCB;PRICE;10;0.91239882;0.892407225;0.872603404;0.854523594;0.839653405;0.828012104;0.820585365;0.815948227;0.813276086;0.811527896;0.809395353;0.805935719;0.801453369;0.796300691;0.790048164;0.782120677;0.77225034;0.761168428;0.749728023;0.73864885;0.728543797;0.719822259;0.712362303;0.705956021;0.700435778;0.695665021;0.691531502;0.687942213;0.684819538;0.682098297;0.679723446;0.677648272;0.675832954;0.67424342;0.672850409;0.671628718;0.670556581;0.669615153;0.668788085;0.668061166;0.66742202;0.66685986;0.666365263;0.665929995;0.665546851;0.66520952;0.664912471;0.664650853;0.664420406;0.664217393;0.664038528;0.663880924;0.663742042;0.663619648;0.663511779;0.663416705;0.663332905;0.663259037;0.663193923;0.663136523;0.663085921;0.663041312;0.663001984;0.662967312;0.662936743;0.662909793;0.662886031;0.662865082;0.66284661;0.662830324;0.662815965;0.662803304;0.662792141;0.662782298;0.66277362;0.662765968;0.662759221;0.662753271;0.662748026;0.6627434;0.662739322;0.662735726;0.662732555;0.662729759;0.662727294;0.66272512;0.662723204;0.662721514;0.662720024;0.66271871;0.662717551;0.662716529;0.662715629;0.662714834;0.662714134;0.662713516;0.662712972;0.662712492;0.662712068;0.662711695;0.662711366
1;EUR;ZCB;PRICE;12;0.874859401;0.854143513;0.834264383;0.817546506;0.805150697;0.795711202;0.788994573;0.783572713;0.778809055;0.77394873;0.768478651;0.762157735;0.75533632;0.74827662;0.740517333;0.73147511;0.720865087;0.709340451;0.697667762;0.686489677;0.676350833;0.667608879;0.660131461;0.653710183;0.648177018;0.643395093;0.639251898;0.635654208;0.632524223;0.629796612;0.627416202;0.62533617;0.623516603;0.621923348;0.620527076;0.619302525;0.618227878;0.617284247;0.616455243;0.615726622;0.61508598;0.614522504;0.614026749;0.613590463;0.613206422;0.612868301;0.612570557;0.612308326;0.61207734;0.611873852;0.611694568;0.611536595;0.611397388;0.611274708;0.611166586;0.61107129;0.610987293;0.610913252;0.610847986;0.610790451;0.610739731;0.610695017;0.610655597;0.610620844;0.610590204;0.61056319;0.610539373;0.610518374;0.61049986;0.610483536;0.610469143;0.610456453;0.610445263;0.610435398;0.610426699;0.610419029;0.610412266;0.610406302;0.610401045;0.610396408;0.610392321;0.610388716;0.610385538;0.610382736;0.610380265;0.610378086;0.610376165;0.610374471;0.610372977;0.61037166;0.610370499;0.610369475;0.610368572;0.610367775;0.610367073;0.610366454;0.610365909;0.610365427;0.610365003;0.610364629;0.610364299
1;EUR;ZCB;PRICE;15;0.818467866;0.800792145;0.78451104;0.770305972;0.758249463;0.747102988;0.736999927;0.72737556;0.718415822;0.709978117;0.701601786;0.692970641;0.684325815;0.675838533;0.667037245;0.657354216;0.646500625;0.635034077;0.623613536;0.612787407;0.60301782;0.594602047;0.587403627;0.58122194;0.57589523;0.571291728;0.567303125;0.563839672;0.560826474;0.558200635;0.555909043;0.553906621;0.552154947;0.550621139;0.549276965;0.548098105;0.547063556;0.546155133;0.545357061;0.544655626;0.544038888;0.543496436;0.543019179;0.542599172;0.54222946;0.541903956;0.541617321;0.541364874;0.541142507;0.540946611;0.540774017;0.540621938;0.540487925;0.540369823;0.540265735;0.540173994;0.540093132;0.540021854;0.539959022;0.539903635;0.539854807;0.539811762;0.539773813;0.539740356;0.539710859;0.539684853;0.539661925;0.53964171;0.539623886;0.539608171;0.539594315;0.539582098;0.539571327;0.539561829;0.539553455;0.539546071;0.53953956;0.539533819;0.539528758;0.539524294;0.539520359;0.539516889;0.53951383;0.539511132;0.539508753;0.539506655;0.539504806;0.539503175;0.539501737;0.539500469;0.539499351;0.539498366;0.539497496;0.53949673;0.539496054;0.539495458;0.539494933;0.539494469;0.539494061;0.539493701;0.539493383
1;EUR;ZCB;PRICE;20;0.738491364;0.719222858;0.699350938;0.680457728;0.663366631;0.647605388;0.633697328;0.621074029;0.609735872;0.599434147;0.589679964;0.58013047;0.570925168;0.562153267;0.553378001;0.544093997;0.534035438;0.523639893;0.513428398;0.503831123;0.4952083;0.487786309;0.48143792;0.475986202;0.4712885;0.467228606;0.463710999;0.46065653;0.457999148;0.455683384;0.453662396;0.451896431;0.450351604;0.448998917;0.447813471;0.446773817;0.445861433;0.445060283;0.444356451;0.443737846;0.443193936;0.44271554;0.44229464;0.441924229;0.441598176;0.441311108;0.441058321;0.440835685;0.440639576;0.440466813;0.440314599;0.440180479;0.440062291;0.439958134;0.439866338;0.439785431;0.439714117;0.439651256;0.439595844;0.439546997;0.439503935;0.439465972;0.439432505;0.439402999;0.439376985;0.43935405;0.439333829;0.439316001;0.439300282;0.439286423;0.439274203;0.439263429;0.439253929;0.439245553;0.439238168;0.439231656;0.439225914;0.439220851;0.439216387;0.439212451;0.43920898;0.43920592;0.439203222;0.439200843;0.439198745;0.439196895;0.439195264;0.439193826;0.439192558;0.439191439;0.439190453;0.439189584;0.439188817;0.439188141;0.439187545;0.43918702;0.439186557;0.439186148;0.439185788;0.43918547;0.43918519
1;EUR;ZCB;PRICE;25;0.640140641;0.618412006;0.597145035;0.577519973;0.560080094;0.544297248;0.530508952;0.518154929;0.507169975;0.497294075;0.488079821;0.479211028;0.470776616;0.462827433;0.454984969;0.446819073;0.438100031;0.429176957;0.420467323;0.412314257;0.405004085;0.398714315;0.393334369;0.388714309;0.384733238;0.381292679;0.378311682;0.375723171;0.373471171;0.371508675;0.369795988;0.368299421;0.366990256;0.365843921;0.364839314;0.363958259;0.363185059;0.362506123;0.361909661;0.361385424;0.360924487;0.36051907;0.360162378;0.359848473;0.359572159;0.359328884;0.359114659;0.358925986;0.358759793;0.358613385;0.358484392;0.358370731;0.358270572;0.358182305;0.358104513;0.358035947;0.357975512;0.357922241;0.357875282;0.357833886;0.357797394;0.357765222;0.35773686;0.357711855;0.35768981;0.357670374;0.357653238;0.357638129;0.357624808;0.357613063;0.357602708;0.357593577;0.357585526;0.357578428;0.357572169;0.357566651;0.357561785;0.357557494;0.357553711;0.357550376;0.357547434;0.357544841;0.357542554;0.357540538;0.35753876;0.357537192;0.35753581;0.357534591;0.357533517;0.357532569;0.357531734;0.357530997;0.357530347;0.357529774;0.357529269;0.357528824;0.357528431;0.357528085;0.35752778;0.35752751;0.357527273
