LIAB_NAME;VAR_NAME;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89;90;91;92;93;94;95;96;97;98;99
IABE;MATH_RES_IF;16230055.02;17278009.18;18117326.57;18854421.98;19499999.95;20049110.11;20490161.21;20828661.02;21065423.54;21216002.98;21272613.31;21237774.08;21114451.46;20907241.52;20631381.33;20291503.64;19887199.16;19346105.23;18723479.36;18041581.44;17320373.19;16545393.27;15745484.07;14922920.88;14102842.41;13288043.34;12482721.68;11690923.12;10916398.84;10162327.94;9431497.29;8726650.15;8050059.97;7403913.17;6789927.97;6209463.11;5663458.16;5152160.93;4675760.57;4234040.25;3826506.53;3452420.09;3110849.81;2800640.87;2520214.71;2267834.23;2041853.46;1840534.74;1661921.27;1504041.11;1364568.77;1241270.66;1131927.3;1034464.96;946874.44;867441.95;794866.67;727834.52;665225.79;606300.87;550311.14;496739.16;445004.7;395171.09;347107.38;301045.06;257181.44;216191.75;178589.97;144925.28;115547.4;90804.68;70651.21;54780.05;42805.14;33959.11;27617.32;22988.8;19577.61;16888.94;14668.94;12714.62;10912.87;9265.47;7762.03;6393.88;5176.9;4098.83;3169.46;2383.63;1748.98;1243.43;856.35;585.9;377.81;227.9;151.1;94.31;66.99;40.88
IABE;INV_EXP;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
IABE;ANNUAL_PREM;0;2036263.29;1912413.56;1776110.93;1657164.1;1540026.32;1411140.39;1288103.62;1166976.5;1069571.84;968534.18;872430.54;777755.13;691980.29;624396.69;565819.98;504492.22;344895.85;240812.56;173568.55;134621.3;65614.83;34367.66;918.74;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
IABE;SINGLE_PREM;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
IABE;NET_PREMIUM;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
IABE;SUM_ASSURED;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
IABE;PRICE_MORTALITY;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
IABE;EXP_MORTALITY;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
IABE;INIT_EXP;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
IABE;REN_EXP;52713.78;53328.14;52850.55;52235.95;51614.98;50881.59;49946.68;48784.17;47611.2;46551.68;45347.5;44004.5;42511.58;41032.48;39785.97;38609.42;36787.41;31887.36;26411.66;23662.21;20957.56;18231.01;16061.74;14543.93;14000.55;13584.9;13148.82;12694.91;12225.89;11744.46;11253.29;10755.2;10253.03;9749.76;9248.43;8751.97;8263.24;7784.75;7318.74;6867.27;6432.6;6016.63;5620.7;5246.15;4893.71;4563.71;4256.19;3970.75;3706.89;3464.44;3241.84;3036.83;2847.66;2672.45;2509.09;2355.2;2209.56;2070.57;1935.82;1804.53;1676.47;1550.93;1426.5;1303.01;1180.72;1059.44;939.17;822.87;713.6;611.34;516.76;431.83;358.37;295.52;244.47;205.1;174.69;151.13;132.95;118.33;104.99;93.28;82.26;71.46;62.11;53.35;45.28;38.83;32.63;26.71;22.3;18.33;14.35;11.41;9.35;7.16;5.67;4.97;4.21;3.41
