!3; LIAB_NAME; VAR_NAME;0;12;24;36;48;60;72;84;96;108;120;132;144;156;168;180;192;204;216;228;240;252;264;276;288;300;312;324;336;348;360;372;384;396;408;420;432;444;456;468;480;492;504;516;528;540;552;564;576;588;600;612;624;636;648;660;672;684;696;708;720;732;744;756;768;780;792;804;816;828;840;852;864;876;888;900;912;924;936;948;960;972;984;996;1008;1020;1032;1044;1056;1068;1080;1092;1104;1116;1128;1140;1152;1164;1176;1188
*;IAAN;FN_VVPCONS;24763560.78;24745474.44;24612776.75;24426233.88;24188804.24;23902487.51;23566051.05;23183963.33;22757236.1;22288790.97;21780569.17;21232163.02;20646449.39;20027561.38;19379722.71;18706039.71;18009542.67;17295528.29;16568498.29;15834526.44;15097907.42;14362901.88;13635329.79;12920273.9;12220177.29;11538808.4;10879938.3;10245675.02;9637908.43;9057728.65;8506919.23;7985588.41;7494033.14;7031745.7;6597992.1;6191421.77;5810710.05;5454242.41;5120368.59;4807130.93;4513022.88;4236463.13;3976038.97;3730535.12;3499142.18;3280351.76;3073734.01;2878695.79;2694798.87;2521361.15;2357902.43;2204159.85;2059439.27;1922980.77;1794353.44;1673101.07;1558597.73;1450151.68;1347143.32;1249002.83;1155199.82;1065443.66;979307.95;896361.29;816365.49;739193.77;664928.05;593839.29;526074.48;461898.8;401550.54;345256.16;293258.13;245712.15;202757.39;164404.87;130704.75;101695.78;77293.49;57265.83;41248.19;28816.69;19492.41;12760.13;8065.46;4915;2884.12;1627.3;882.57;459.94;231;112.41;53.5;25.25;12.13;5.96;3.11;1.79;0.92;0.49
*;IAAN;FN_GEACTACQK;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
*;IAAN;FN_U_EXP;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
*;IAAN;FN_U_OVERL;0;872878.58;894576.12;917012.99;939147.27;960939.4;982683.79;1000984.55;1018849.82;1035143.27;1050207.73;1064719.35;1077376.39;1087674.55;1095277.66;1099930.31;1100726.04;1096576.11;1089001.47;1077027.35;1060427.84;1040670.6;1015392.29;986292.98;954315.36;919522.68;882007.42;842986.08;802939.87;762427.88;720806.77;679627.9;638835.74;599216.11;560982.59;524876.68;490662.74;458669.53;428907.27;401645.73;376339.01;353004.85;331475.66;311519.73;292707.24;275739.41;259448.21;244038.21;229310.48;215491.07;202397.61;189707.88;177909.18;167112.51;156920.77;147341.39;138578.17;130638.79;123453.09;116964.25;111134.65;105683.21;100754.95;96346.25;92283.11;88376.76;84456.4;80315.1;76082.83;71631.47;66986.35;62163.91;57140.03;52002.35;46769.46;41580.42;36391.15;31207.43;26154.38;21390.07;17051.63;13194.06;9866.41;7104.25;4941.54;3307.59;2126.89;1312.15;775.19;437.74;235.91;121.29;59.62;28.12;12.7;5.75;2.73;1.28;0.73;0.43
*;IAAN;FN_U_RENTEN;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
*;IAAN;FN_U_AFKOOP;0;125314.35;123929.03;122326.55;120847.98;119459.31;117986.11;115904.58;113393.27;110690.62;108189.12;105622.09;102822.34;99850.52;96763.01;93555.66;90224.35;86789.56;83275.72;79708.16;76113.99;72512.95;68929.55;65393.09;61921.19;58528.79;55236.03;52057.76;49002.59;46079.51;43295.37;40654.95;38160.11;35809.97;33602.04;31531.39;29590.96;27774.53;26073.14;24478.73;22982.25;21575.88;20253.09;19006.11;17831.34;16722.14;15673.74;14683.89;13749.99;12869.6;12039.19;11257.42;10522.03;9829.25;9176.35;8560.62;7980.09;7431.06;6910.41;6415.19;5942.5;5490.57;5057.35;4640.96;4239.49;3852.04;3478.5;3119.65;2776.82;2450.76;2142.81;1854.17;1586.01;1339.36;1114.99;913.24;734.28;578.42;445.56;335;245.24;174.35;120.14;80.14;51.69;32.17;19.29;11.13;6.17;3.29;1.68;0.83;0.4;0.19;0.09;0.04;0.02;0.01;0.01;0
*;IAAN;FN_RET_PROV;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
*;IAAN;FN_U_ANDERE;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
*;IAAN;FN_AANTALPV;11940.46;11863.01;11709.73;11542.77;11342.92;11117.36;10876.07;10625.01;10376.62;10104.62;9813.18;9531.54;9231.91;8892.28;8531.15;8167.74;7806.49;7445.3;7083.71;6721.03;6359.91;6007.3;5660.64;5325.09;5008.03;4707.33;4416.31;4139.39;3878.52;3631.26;3398.39;3179.79;2976.5;2787.14;2610.58;2446.04;2291.71;2147.05;2011.2;1884.37;1765.51;1654.35;1550.55;1452.36;1359.68;1272.7;1191.02;1113.22;1039.56;970.11;904.06;842.33;783.87;728.13;675.42;625.6;578.54;534.03;491.87;451.88;413.92;377.91;343.76;311.37;280.66;251.56;224.07;198.23;174.08;151.62;130.87;111.83;94.52;78.92;65;52.72;42.02;32.88;25.21;18.9;13.84;9.87;6.85;4.62;3.03;1.94;1.2;0.73;0.43;0.25;0.14;0.08;0.05;0.03;0.02;0.01;0.01;0;0;0
*;IAAN;FN_AANTALPB;3317.52;3152.6;2824.41;2515.16;2242.4;1998.25;1772.11;1558.24;1344.74;1157.9;993.52;822.34;672.41;566.28;486.13;413.67;345.52;285.2;234.57;195.36;166.17;141.14;124.07;111.02;95.13;78.92;69.37;62.17;55.13;50.3;46.56;43.56;39.67;35.5;31.43;27.42;24.44;22.18;20.63;18.79;16.99;14.92;12.29;10.31;8.69;6.8;4.66;3.44;2.55;1.69;1.38;0.55;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
